# =============================================================================
# LOG MISSIONE AUTOPILOTA APRILTAG
# =============================================================================
# Descrizione: campioni registrati durante il volo autonomo; include posa stimata, waypoint attivo, distanze dal target, comandi RC e stato della missione.
# Generato il: 2026-09-07 11:21:39
# Formato dati: tabella CSV testuale con separatore ','
# Nota: le righe che iniziano con '#' sono commenti descrittivi.
# Separatore degli ID AprilTag multipli: '|'
#
# Legenda colonne:
# - timestamp_s: timestamp assoluto UNIX del campione [s]
# - tempo_relativo_s: tempo trascorso dal primo campione del file [s]
# - x_mondo_m: coordinata X della posa usata dall'autopilota nel frame mondo [m]
# - y_mondo_m: coordinata Y della posa usata dall'autopilota nel frame mondo [m]
# - z_mondo_m: coordinata Z della posa usata dall'autopilota nel frame mondo [m]
# - yaw_mondo_deg: yaw della posa usata dall'autopilota [deg]
# - waypoint_x_m: coordinata X del waypoint attivo [m]
# - waypoint_y_m: coordinata Y del waypoint attivo [m]
# - waypoint_z_m: coordinata Z del waypoint attivo [m]
# - waypoint_yaw_deg: yaw desiderato del waypoint attivo [deg]
# - comando_lr: comando RC laterale left/right inviato o calcolato dall'autopilota
# - comando_fb: comando RC forward/backward inviato o calcolato dall'autopilota
# - comando_ud: comando RC up/down inviato o calcolato dall'autopilota
# - comando_yaw: comando RC di rotazione yaw inviato o calcolato dall'autopilota
# - distanza_xy_m: distanza planare dal waypoint attivo [m]
# - distanza_3d_m: distanza spaziale dal waypoint attivo [m]
# - errore_yaw_deg: errore di orientamento rispetto al waypoint [deg]
# - indice_waypoint: indice del waypoint attivo nella sequenza
# - waypoint_raggiunto: true se il waypoint è stato considerato raggiunto in quel campione
# - missione_finita: true se la sequenza di waypoint risulta completata
# - fault: true se il controllore segnala una condizione anomala
# - motivo: motivo diagnostico restituito dall'autopilota
# - tag_ids: ID degli AprilTag usati per la stima, separati dal carattere indicato sopra
# - sorgente_posa: descrizione della sorgente della posa usata dall'autopilota
# =============================================================================

timestamp_s,tempo_relativo_s,x_mondo_m,y_mondo_m,z_mondo_m,yaw_mondo_deg,waypoint_x_m,waypoint_y_m,waypoint_z_m,waypoint_yaw_deg,comando_lr,comando_fb,comando_ud,comando_yaw,distanza_xy_m,distanza_3d_m,errore_yaw_deg,indice_waypoint,waypoint_raggiunto,missione_finita,fault,motivo,tag_ids,sorgente_posa
1788769701.186,0.000,0.290,1.348,1.815,72.616,0.000,2.100,2.100,90.000,-18,-18,13,23,0.806,0.855,17.384,0,false,false,false,tracking,11,kalman(weighted_average)
1788769701.234,0.047,0.294,1.346,1.814,72.551,0.000,2.100,2.100,90.000,-18,-18,13,23,0.809,0.858,17.449,0,false,false,false,tracking,11,kalman(weighted_average)
1788769701.283,0.097,0.292,1.343,1.815,72.547,0.000,2.100,2.100,90.000,-18,-18,13,23,0.811,0.860,17.453,0,false,false,false,tracking,11,kalman(weighted_average)
1788769701.396,0.209,0.290,1.340,1.816,72.568,0.000,2.100,2.100,90.000,-18,-18,13,23,0.813,0.862,17.432,0,false,false,false,tracking,11,kalman(weighted_average)
1788769701.431,0.244,0.285,1.341,1.813,72.707,0.000,2.100,2.100,90.000,-18,-18,13,23,0.811,0.860,17.293,0,false,false,false,tracking,11,kalman(weighted_average)
1788769701.482,0.295,0.282,1.343,1.810,72.903,0.000,2.100,2.100,90.000,-18,-18,13,23,0.808,0.859,17.097,0,false,false,false,tracking,11,kalman(weighted_average)
1788769701.536,0.350,0.272,1.343,1.810,73.541,0.000,2.100,2.100,90.000,-18,-18,13,23,0.804,0.855,16.459,0,false,false,false,tracking,11,kalman(weighted_average)
1788769701.587,0.401,0.270,1.343,1.812,74.067,0.000,2.100,2.100,90.000,-18,-18,13,23,0.803,0.854,15.933,0,false,false,false,tracking,11,kalman(weighted_average)
1788769701.687,0.500,0.263,1.343,1.819,74.883,0.000,2.100,2.100,90.000,-18,-18,13,23,0.802,0.850,15.117,0,false,false,false,tracking,11,kalman(weighted_average)
1788769701.725,0.539,0.256,1.345,1.827,76.293,0.000,2.100,2.100,90.000,-18,-18,12,23,0.797,0.843,13.707,0,false,false,false,tracking,11,kalman(weighted_average)
1788769701.770,0.584,0.256,1.345,1.827,77.038,0.000,2.100,2.100,90.000,-18,-18,12,23,0.797,0.843,12.962,0,false,false,false,tracking,1,kalman(weighted_average)
1788769701.820,0.634,0.256,1.345,1.827,77.776,0.000,2.100,2.100,90.000,-18,-18,12,23,0.797,0.843,12.224,0,false,false,false,tracking,1,kalman(weighted_average)
1788769701.869,0.683,0.229,0.922,1.749,78.358,0.000,2.100,2.100,90.000,-18,-18,16,23,1.200,1.250,11.642,0,false,false,false,tracking,1,kalman(weighted_average)
1788769701.975,0.789,0.231,0.844,1.744,78.775,0.000,2.100,2.100,90.000,-18,-18,16,23,1.277,1.326,11.225,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.011,0.825,0.220,0.818,1.741,79.576,0.000,2.100,2.100,90.000,-18,-18,16,23,1.301,1.349,10.424,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.059,0.873,0.215,0.850,1.757,80.065,0.000,2.100,2.100,90.000,-18,-18,15,23,1.269,1.314,9.935,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.109,0.923,0.191,0.873,1.761,80.905,0.000,2.100,2.100,90.000,-18,-18,15,23,1.242,1.287,9.095,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.160,0.974,0.183,0.891,1.760,81.479,0.000,2.100,2.100,90.000,-18,-18,15,21,1.223,1.269,8.521,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.271,1.084,0.182,0.898,1.753,81.842,0.000,2.100,2.100,90.000,-18,-18,16,20,1.216,1.264,8.158,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.308,1.122,0.173,0.910,1.761,82.818,0.000,2.100,2.100,90.000,-16,-18,15,18,1.203,1.249,7.182,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.353,1.167,0.166,0.922,1.758,83.411,0.000,2.100,2.100,90.000,-15,-18,15,16,1.190,1.238,6.589,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.414,1.228,0.169,0.928,1.767,83.796,0.000,2.100,2.100,90.000,-15,-18,15,16,1.184,1.230,6.204,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.453,1.267,0.165,0.932,1.771,84.231,0.000,2.100,2.100,90.000,-14,-18,15,14,1.179,1.224,5.769,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.562,1.375,0.157,0.940,1.770,84.716,0.000,2.100,2.100,90.000,-13,-18,15,13,1.170,1.216,5.284,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.597,1.411,0.145,0.954,1.784,85.381,0.000,2.100,2.100,90.000,-12,-18,14,12,1.155,1.197,4.619,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.645,1.458,0.121,0.962,1.774,85.914,0.000,2.100,2.100,90.000,-10,-18,15,10,1.144,1.190,4.086,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.698,1.512,0.111,0.971,1.780,86.272,0.000,2.100,2.100,90.000,-9,-18,14,0,1.134,1.178,3.728,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.746,1.560,0.098,0.977,1.780,86.582,0.000,2.100,2.100,90.000,-8,-18,14,0,1.127,1.171,3.418,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.858,1.671,0.086,0.990,1.783,86.892,0.000,2.100,2.100,90.000,-7,-18,14,0,1.114,1.158,3.108,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.895,1.709,0.081,1.013,1.795,87.128,0.000,2.100,2.100,90.000,-7,-18,14,0,1.090,1.132,2.872,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.940,1.754,0.080,1.020,1.792,87.147,0.000,2.100,2.100,90.000,-7,-18,14,0,1.083,1.126,2.853,0,false,false,false,tracking,1,kalman(weighted_average)
1788769702.998,1.812,0.080,1.037,1.812,87.010,0.000,2.100,2.100,90.000,-7,-18,13,0,1.066,1.104,2.990,0,false,false,false,tracking,1,kalman(weighted_average)
1788769703.046,1.860,0.058,1.043,1.814,87.187,0.000,2.100,2.100,90.000,-5,-18,13,0,1.059,1.097,2.813,0,false,false,false,tracking,1,kalman(weighted_average)
1788769703.154,1.968,0.019,1.054,1.808,87.578,0.000,2.100,2.100,90.000,-3,-18,13,0,1.047,1.087,2.422,0,false,false,false,tracking,1,kalman(weighted_average)
