# =============================================================================
# CONFRONTO POSE APRILTAG RAW E POSE FILTRATE KALMAN
# =============================================================================
# Descrizione: tabella per valutare quanto il filtro di Kalman modifica la posa stimata a partire dalle misure grezze degli AprilTag.
# Generato il: 2026-09-09 15:25:36
# Formato dati: tabella CSV testuale con separatore ','
# Nota: le righe che iniziano con '#' sono commenti descrittivi.
# Separatore degli ID AprilTag multipli: '|'
#
# Legenda colonne:
# - timestamp_s: timestamp assoluto UNIX del campione [s]
# - tempo_relativo_s: tempo trascorso dal primo campione del file [s]
# - raw_x_m: coordinata X della posa grezza AprilTag [m]
# - raw_y_m: coordinata Y della posa grezza AprilTag [m]
# - raw_z_m: coordinata Z della posa grezza AprilTag [m]
# - raw_yaw_deg: yaw associato alla posa grezza AprilTag [deg]
# - kalman_x_m: coordinata X dopo filtraggio di Kalman [m]
# - kalman_y_m: coordinata Y dopo filtraggio di Kalman [m]
# - kalman_z_m: coordinata Z dopo filtraggio di Kalman [m]
# - kalman_yaw_deg: yaw filtrato da Kalman se yaw_filter_enabled=True, altrimenti corrisponde a quello grezzo [deg]
# - errore_x_m: differenza kalman_x_m - raw_x_m [m]
# - errore_y_m: differenza kalman_y_m - raw_y_m [m]
# - errore_z_m: differenza kalman_z_m - raw_z_m [m]
# - norma_errore_m: norma euclidea della correzione introdotta dal filtro [m]
# - tag_ids: ID degli AprilTag usati per la stima, separati dal carattere indicato sopra
# - sorgente_raw: descrizione della sorgente della posa grezza
# - sorgente_kalman: descrizione della sorgente della posa filtrata
# - outlier_scartato: true se il filtro di Kalman ha scartato la misura grezza: la posa filtrata e' solo la previsione
# =============================================================================

timestamp_s,tempo_relativo_s,raw_x_m,raw_y_m,raw_z_m,raw_yaw_deg,kalman_x_m,kalman_y_m,kalman_z_m,kalman_yaw_deg,errore_x_m,errore_y_m,errore_z_m,norma_errore_m,tag_ids,sorgente_raw,sorgente_kalman,outlier_scartato
1788960269.363,0.000,0.325,1.368,0.470,-80.972,0.325,1.368,0.470,-80.972,0.000,0.000,0.000,0.000,16,weighted_average,kalman(weighted_average),false
1788960269.491,0.128,0.176,1.435,0.578,-96.626,0.177,1.435,0.578,-89.042,0.000,-0.000,-0.000,0.000,2,weighted_average,kalman(weighted_average),false
1788960269.541,0.178,-0.704,1.356,2.390,-120.822,0.177,1.435,0.578,-108.855,0.881,0.079,-1.812,2.016,2,weighted_average,kalman(weighted_average),true
1788960307.783,38.420,-0.233,1.947,1.405,23.574,-0.227,1.939,1.392,7.307,0.006,-0.008,-0.013,0.016,8,weighted_average,kalman(weighted_average),false
1788960307.838,38.475,-0.233,1.945,1.439,24.817,-0.261,1.980,1.486,33.365,-0.028,0.035,0.047,0.065,8,weighted_average,kalman(weighted_average),false
1788960307.882,38.519,-0.224,1.926,1.448,26.592,-0.256,1.969,1.504,42.408,-0.032,0.043,0.056,0.077,8,weighted_average,kalman(weighted_average),false
1788960307.966,38.603,-0.209,1.920,1.413,28.393,-0.233,1.946,1.468,47.763,-0.023,0.026,0.055,0.065,8,weighted_average,kalman(weighted_average),false
1788960308.014,38.651,-0.216,1.926,1.452,29.800,-0.221,1.933,1.460,42.649,-0.006,0.007,0.008,0.012,8,weighted_average,kalman(weighted_average),false
1788960308.081,38.718,-0.216,1.925,1.414,31.936,-0.215,1.925,1.429,39.686,0.001,0.000,0.015,0.015,8,weighted_average,kalman(weighted_average),false
1788960308.116,38.753,-0.224,1.935,1.468,34.697,-0.219,1.929,1.447,38.048,0.006,-0.006,-0.021,0.023,8,weighted_average,kalman(weighted_average),false
1788960308.183,38.820,-0.210,1.921,1.425,35.194,-0.212,1.923,1.432,37.135,-0.002,0.002,0.007,0.008,8,weighted_average,kalman(weighted_average),false
1788960308.267,38.904,-0.195,1.909,1.434,38.262,-0.198,1.911,1.431,38.045,-0.003,0.002,-0.004,0.005,8,weighted_average,kalman(weighted_average),false
1788960308.324,38.960,-0.219,1.914,1.472,41.185,-0.209,1.911,1.457,40.106,0.010,-0.003,-0.015,0.018,8,weighted_average,kalman(weighted_average),false
1788960308.372,39.009,-0.220,1.906,1.435,42.023,-0.216,1.907,1.448,41.586,0.004,0.000,0.012,0.013,8,weighted_average,kalman(weighted_average),false
1788960308.418,39.054,-0.227,1.916,1.488,44.794,-0.224,1.911,1.472,43.732,0.003,-0.005,-0.016,0.017,8,weighted_average,kalman(weighted_average),false
1788960308.474,39.111,-0.227,1.914,1.442,45.750,-0.229,1.913,1.458,45.623,-0.001,-0.002,0.017,0.017,8,weighted_average,kalman(weighted_average),false
1788960308.557,39.194,-0.233,1.910,1.440,49.160,-0.234,1.911,1.445,48.829,-0.001,0.001,0.005,0.005,8,weighted_average,kalman(weighted_average),false
1788960308.615,39.252,-0.219,1.899,1.470,49.997,-0.225,1.903,1.459,50.382,-0.007,0.004,-0.010,0.013,8,weighted_average,kalman(weighted_average),false
1788960308.666,39.303,-0.227,1.906,1.442,52.394,-0.226,1.903,1.450,52.207,0.001,-0.003,0.008,0.008,8,weighted_average,kalman(weighted_average),false
1788960308.712,39.349,-0.223,1.897,1.460,53.442,-0.224,1.899,1.455,53.605,-0.001,0.002,-0.005,0.005,8,weighted_average,kalman(weighted_average),false
1788960308.775,39.412,-0.239,1.896,1.427,55.888,-0.233,1.896,1.437,55.774,0.006,-0.000,0.011,0.012,8,weighted_average,kalman(weighted_average),false
1788960308.873,39.510,0.006,1.413,1.821,53.374,-0.233,1.896,1.437,55.153,-0.240,0.483,-0.383,0.661,17,weighted_average,kalman(weighted_average),true
1788960308.918,39.554,-0.253,1.902,1.453,62.390,-0.251,1.902,1.451,59.369,0.002,-0.001,-0.002,0.003,8,weighted_average,kalman(weighted_average),false
1788960308.970,39.607,-0.191,1.795,1.478,61.679,-0.214,1.832,1.470,61.447,-0.023,0.037,-0.008,0.044,8|17,weighted_average,kalman(weighted_average),false
1788960309.040,39.677,-0.240,1.882,1.442,64.157,-0.227,1.855,1.455,64.098,0.013,-0.027,0.013,0.033,8,weighted_average,kalman(weighted_average),false
1788960309.146,39.783,-0.724,1.808,1.521,74.178,-0.227,1.855,1.455,72.475,0.497,0.047,-0.065,0.503,8|17,weighted_average,kalman(weighted_average),true
1788960309.194,39.831,-0.726,1.816,1.507,76.450,-0.675,1.820,1.502,76.151,0.050,0.004,-0.005,0.051,8|17,weighted_average,kalman(weighted_average),false
1788960309.248,39.885,-2.711,1.457,1.684,98.525,-0.675,1.820,1.502,90.374,2.035,0.363,-0.182,2.075,17,weighted_average,kalman(weighted_average),true
1788960309.309,39.946,0.013,1.430,1.402,68.577,-0.675,1.820,1.502,81.619,-0.689,0.390,0.100,0.798,17,weighted_average,kalman(weighted_average),true
1788960309.347,39.984,0.095,1.397,1.403,68.748,-0.675,1.820,1.502,75.625,-0.770,0.423,0.099,0.884,17,weighted_average,kalman(weighted_average),true
1788960309.425,40.062,-2.824,1.426,1.588,106.433,-0.675,1.820,1.502,93.234,2.148,0.394,-0.086,2.186,17,weighted_average,kalman(weighted_average),true
1788960309.477,40.114,-2.584,1.503,1.393,104.521,-0.675,1.820,1.502,102.082,1.908,0.316,0.109,1.937,17,weighted_average,kalman(weighted_average),true
1788960309.536,40.173,-2.537,1.517,1.614,106.341,-2.537,1.517,1.614,107.922,0.000,0.000,0.000,0.000,17,weighted_average,kalman(weighted_average),false
1788960309.577,40.214,0.087,1.462,1.974,77.116,0.080,1.462,1.973,94.875,-0.007,0.000,-0.001,0.007,3|17,weighted_average,kalman(weighted_average),false
1788960309.626,40.263,0.048,1.399,1.335,79.243,0.080,1.462,1.973,86.897,0.033,0.063,0.638,0.642,17,weighted_average,kalman(weighted_average),true
1788960309.711,40.348,0.078,1.390,1.385,80.967,0.079,1.397,1.438,81.245,0.000,0.007,0.053,0.054,17,weighted_average,kalman(weighted_average),false
1788960309.765,40.402,-0.123,1.793,1.408,84.564,0.079,1.397,1.438,81.694,0.202,-0.396,0.031,0.446,11,weighted_average,kalman(weighted_average),true
1788960309.815,40.452,-0.123,1.793,1.405,84.571,-0.089,1.725,1.411,82.414,0.034,-0.068,0.006,0.076,11,weighted_average,kalman(weighted_average),false
1788960309.866,40.503,-0.700,1.716,1.399,91.139,-0.089,1.725,1.411,86.547,0.612,0.009,0.012,0.612,11|17,weighted_average,kalman(weighted_average),true
1788960309.915,40.552,-0.671,1.720,1.436,90.839,-0.089,1.725,1.411,89.165,0.583,0.005,-0.025,0.583,11|17,weighted_average,kalman(weighted_average),true
1788960310.009,40.646,-0.258,1.985,1.539,87.832,-0.244,1.964,1.529,89.232,0.014,-0.021,-0.010,0.027,9,weighted_average,kalman(weighted_average),false
1788960310.055,40.692,-0.108,1.796,1.460,85.053,-0.171,1.877,1.495,87.110,-0.062,0.081,0.035,0.108,9|11,weighted_average,kalman(weighted_average),false
1788960310.108,40.745,-0.577,1.735,1.459,90.430,-0.171,1.877,1.495,88.737,0.406,0.142,0.036,0.431,9|11|17,weighted_average,kalman(weighted_average),true
1788960310.157,40.794,-0.069,1.762,1.460,84.843,-0.090,1.786,1.467,86.855,-0.021,0.024,0.007,0.032,11,weighted_average,kalman(weighted_average),false
1788960310.206,40.843,-0.045,1.758,1.486,85.037,-0.050,1.756,1.475,85.707,-0.006,-0.002,-0.010,0.012,11,weighted_average,kalman(weighted_average),false
1788960310.291,40.928,0.000,1.752,1.497,84.906,0.002,1.738,1.490,84.770,0.002,-0.014,-0.008,0.016,11,weighted_average,kalman(weighted_average),false
1788960310.341,40.978,-1.260,1.711,1.477,99.929,0.002,1.738,1.490,93.046,1.262,0.027,0.013,1.262,9|17,weighted_average,kalman(weighted_average),true
1788960310.391,41.028,-1.423,1.611,1.523,102.345,0.002,1.738,1.490,99.170,1.425,0.127,-0.033,1.431,9|17,weighted_average,kalman(weighted_average),true
1788960310.446,41.083,-0.110,1.594,1.660,87.000,-0.097,1.610,1.641,94.560,0.012,0.016,-0.019,0.028,9|17,weighted_average,kalman(weighted_average),false
1788960310.491,41.128,-0.826,1.683,1.812,96.240,-0.097,1.610,1.641,95.739,0.728,-0.073,-0.171,0.752,9|17,weighted_average,kalman(weighted_average),true
1788960310.579,41.216,-0.849,1.332,1.541,96.690,-0.097,1.610,1.641,96.933,0.751,0.278,0.101,0.808,1|9|17,weighted_average,kalman(weighted_average),true
1788960310.629,41.266,0.097,1.770,1.631,87.112,0.080,1.756,1.632,91.715,-0.017,-0.014,0.001,0.023,9,weighted_average,kalman(weighted_average),false
1788960310.679,41.316,-0.976,1.203,1.385,98.088,0.080,1.756,1.632,94.511,1.056,0.553,0.247,1.217,1|3|17,weighted_average,kalman(weighted_average),true
1788960310.730,41.367,-0.002,1.246,1.579,86.527,0.080,1.756,1.632,90.366,0.081,0.510,0.053,0.519,17,weighted_average,kalman(weighted_average),true
1788960310.782,41.419,-0.006,1.173,1.355,87.086,0.080,1.756,1.632,87.972,0.086,0.583,0.277,0.651,1|3|15,weighted_average,kalman(weighted_average),true
1788960310.869,41.506,-0.016,1.272,1.595,86.782,-0.011,1.297,1.597,86.129,0.005,0.025,0.002,0.026,15|17,weighted_average,kalman(weighted_average),false
1788960310.918,41.555,0.196,1.375,1.412,85.786,-0.011,1.297,1.597,85.379,-0.207,-0.077,0.185,0.289,3|15|17,weighted_average,kalman(weighted_average),true
1788960310.972,41.609,-0.139,1.227,1.421,88.014,-0.115,1.240,1.454,86.277,0.024,0.013,0.034,0.044,3|17,weighted_average,kalman(weighted_average),false
1788960311.020,41.657,0.031,1.312,1.848,87.113,-0.115,1.240,1.454,86.537,-0.146,-0.072,-0.394,0.426,3|15|17,weighted_average,kalman(weighted_average),true
1788960311.074,41.711,-0.722,1.032,1.569,96.631,-0.115,1.240,1.454,91.778,0.607,0.208,-0.115,0.652,1|3|15|17,weighted_average,kalman(weighted_average),true
1788960311.160,41.797,0.061,0.958,1.395,87.007,0.047,0.981,1.400,89.813,-0.015,0.023,0.005,0.028,1|3|15|17,weighted_average,kalman(weighted_average),false
1788960311.209,41.846,0.014,1.209,1.800,87.805,0.047,0.981,1.400,88.686,0.033,-0.228,-0.400,0.461,3|15|17,weighted_average,kalman(weighted_average),true
1788960311.264,41.901,0.172,1.123,1.797,85.988,0.149,1.096,1.722,87.005,-0.024,-0.027,-0.075,0.083,3|15|17,weighted_average,kalman(weighted_average),false
1788960311.313,41.950,0.096,0.869,1.593,86.345,0.149,1.096,1.722,86.271,0.053,0.227,0.129,0.266,17,weighted_average,kalman(weighted_average),true
1788960311.366,42.003,-1.764,1.087,1.487,111.393,0.149,1.096,1.722,99.102,1.913,0.009,0.235,1.927,3|15|17,weighted_average,kalman(weighted_average),true
1788960311.452,42.089,0.144,0.734,1.485,86.840,0.144,0.765,1.505,93.789,0.000,0.031,0.020,0.037,1|3|15|17,weighted_average,kalman(weighted_average),false
1788960311.503,42.140,0.122,0.935,1.573,87.117,0.129,0.845,1.529,89.886,0.007,-0.090,-0.044,0.100,3|15|17,weighted_average,kalman(weighted_average),false
1788960311.550,42.187,-0.173,1.320,1.352,90.882,0.129,0.845,1.529,89.737,0.303,-0.475,0.177,0.590,3,weighted_average,kalman(weighted_average),true
1788960311.604,42.241,0.167,0.594,1.403,86.786,0.159,0.647,1.430,87.629,-0.008,0.053,0.027,0.060,1|3|15|17,weighted_average,kalman(weighted_average),false
