epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;18,5409;0,8369;7,06148;0,00633;0,03817;0,2;0,04045;0,01714;0,67866;6,69759;0,01776;0,00004;0,00004;0,00004
2;21,5771;0,7103;6,07544;0,00538;0,04487;0,2;0,09041;0,03537;0,6441;5,92243;0,01538;0,0000967;0,0000967;0,0000967
3;23,4311;0,68883;5,63478;0,00479;0,56369;0,52737;0,45734;0,45642;0,29631;3,84342;0,00491;0,00014944;0,00014944;0,00014944
4;25,4032;0,54745;3,43054;0,00324;0,65781;0,77342;0,62203;0,59389;0,39206;2,11737;0,00659;0,00019822;0,00019822;0,00019822
5;27,281;0,62374;2,87166;0,00343;0,97641;0,4;0,58111;0,56259;0,45552;1,89243;0,00916;0,00024304;0,00024304;0,00024304
6;29,1203;0,55951;2,42523;0,00452;0,74657;0,59178;0,69262;0,67232;0,38862;1,76199;0,00702;0,0002839;0,0002839;0,0002839
7;31,0211;0,49805;2,02466;0,00308;1;0,99648;0,995;0,93694;0,37532;1,35326;0,00637;0,0003208;0,0003208;0,0003208
8;32,7893;0,59235;2,05444;0,00367;0,97858;1;0,995;0,94749;0,38703;1,31156;0,00686;0,00035374;0,00035374;0,00035374
9;34,696;0,76695;2,07329;0,00484;1;0,92042;0,995;0,94524;0,40599;1,44338;0,0082;0,00038272;0,00038272;0,00038272
10;36,439;0,57819;1,51206;0,00471;0,82293;1;0,96167;0,88364;0,37329;1,33596;0,00715;0,00040774;0,00040774;0,00040774
11;38,1807;0,65783;1,31795;0,00478;0,82998;0,97988;0,96167;0,8938;0,40409;1,05462;0,00647;0,0004288;0,0004288;0,0004288
12;39,9714;0,52115;1,14774;0,00318;0,82985;0,97911;0,96167;0,88709;0,48977;0,97212;0,00869;0,0004459;0,0004459;0,0004459
13;41,791;0,54464;1,01185;0,00385;0,98978;1;0,995;0,91422;0,46497;0,60413;0,00758;0,00045904;0,00045904;0,00045904
14;43,5189;0,55358;1,06272;0,00376;0,98935;1;0,995;0,86977;0,50082;0,55775;0,00798;0,00046822;0,00046822;0,00046822
15;45,309;0,62699;1,08094;0,00493;0,99086;1;0,995;0,90929;0,52747;0,45659;0,00888;0,00047344;0,00047344;0,00047344
16;47,0378;0,6253;0,92048;0,00372;0,99034;1;0,995;0,88203;0,50479;0,45454;0,00792;0,0004747;0,0004747;0,0004747
17;48,8249;0,63872;0,77198;0,00459;0,98083;0,8;0,96167;0,83642;0,59789;0,56173;0,01071;0,000472;0,000472;0,000472
18;50,5031;0,53575;0,7955;0,0043;0,99929;1;0,995;0,84691;0,6099;0,43626;0,01253;0,00046534;0,00046534;0,00046534
