epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;155,967;1,44823;2,40665;0,01668;0,63741;0,54403;0,58970;0,29268;1,65508;1,54054;0,02926;0,0005540840;0,0005540840;0,0005540840
2;287,340;1,62894;1,70306;0,01961;0,66362;0,57019;0,60446;0,29540;1,77424;1,56337;0,03155;0,0010960200;0,0010960200;0,0010960200
3;415,417;1,66327;1,68360;0,02035;0,67330;0,56404;0,61491;0,30265;1,75738;1,49780;0,03065;0,0016242000;0,0016242000;0,0016242000
4;543,736;1,65371;1,64491;0,02033;0,66091;0,60876;0,65000;0,32647;1,66757;1,42724;0,02813;0,0016051100;0,0016051100;0,0016051100
5;671,898;1,61589;1,58105;0,01950;0,70409;0,56772;0,63378;0,30852;1,73546;1,40346;0,02976;0,0015844800;0,0015844800;0,0015844800
6;800,212;1,58387;1,49362;0,01884;0,70187;0,59321;0,65952;0,33986;1,66821;1,38920;0,02872;0,0015638500;0,0015638500;0,0015638500
7;929,080;1,57958;1,44229;0,01856;0,74214;0,65643;0,72760;0,38695;1,58063;1,20909;0,02620;0,0015432300;0,0015432300;0,0015432300
8;1057,950;1,55248;1,42325;0,01850;0,77139;0,66112;0,74158;0,40539;1,57606;1,19352;0,02610;0,0015226000;0,0015226000;0,0015226000
9;1187,130;1,52866;1,39200;0,01803;0,76228;0,67581;0,74533;0,40808;1,56302;1,13006;0,02551;0,0015019700;0,0015019700;0,0015019700
10;1316,280;1,52481;1,33151;0,01785;0,76787;0,68788;0,76247;0,41857;1,56384;1,10696;0,02601;0,0014813400;0,0014813400;0,0014813400
11;1445,650;1,49757;1,32422;0,01760;0,78395;0,70136;0,78090;0,42548;1,52655;1,05031;0,02419;0,0014607100;0,0014607100;0,0014607100
12;1574,660;1,48401;1,28891;0,01754;0,78768;0,69638;0,78797;0,43883;1,53635;1,02231;0,02443;0,0014400800;0,0014400800;0,0014400800
13;1704,470;1,47621;1,26936;0,01728;0,79724;0,72407;0,80027;0,46531;1,45303;0,97288;0,02289;0,0014194500;0,0014194500;0,0014194500
14;1833,570;1,46698;1,24662;0,01696;0,76378;0,71085;0,78483;0,44556;1,51108;1,03706;0,02401;0,0013988200;0,0013988200;0,0013988200
15;1963,000;1,45124;1,23095;0,01671;0,79240;0,71540;0,79379;0,45429;1,45680;1,00853;0,02292;0,0013781900;0,0013781900;0,0013781900
16;2092,120;1,44732;1,21826;0,01664;0,81007;0,72247;0,80911;0,47034;1,47610;0,95446;0,02344;0,0013575600;0,0013575600;0,0013575600
17;2221,390;1,42234;1,18079;0,01607;0,81533;0,70981;0,80907;0,47276;1,45230;0,94115;0,02308;0,0013369300;0,0013369300;0,0013369300
18;2350,240;1,42541;1,17825;0,01648;0,81355;0,73137;0,81744;0,48775;1,44146;0,90840;0,02231;0,0013163000;0,0013163000;0,0013163000
19;2479,830;1,41852;1,17208;0,01611;0,82129;0,73097;0,81751;0,48153;1,43740;0,92895;0,02261;0,0012956800;0,0012956800;0,0012956800
20;2608,600;1,41341;1,16526;0,01592;0,83613;0,72951;0,82373;0,48780;1,42740;0,92996;0,02217;0,0012750500;0,0012750500;0,0012750500
21;2738,070;1,39780;1,13481;0,01599;0,83969;0,74720;0,83520;0,49582;1,43655;0,85476;0,02236;0,0012544200;0,0012544200;0,0012544200
22;2867,190;1,40336;1,13243;0,01612;0,83169;0,74109;0,82806;0,49472;1,42946;0,88109;0,02177;0,0012337900;0,0012337900;0,0012337900
23;2996,330;1,38885;1,11252;0,01597;0,82698;0,73968;0,83111;0,49974;1,40158;0,87414;0,02120;0,0012131600;0,0012131600;0,0012131600
24;3126,050;1,38123;1,09719;0,01555;0,85313;0,77301;0,85149;0,51360;1,40528;0,81599;0,02161;0,0011925300;0,0011925300;0,0011925300
25;3255,120;1,36849;1,08533;0,01554;0,84953;0,73716;0,83860;0,50391;1,40305;0,85494;0,02148;0,0011719000;0,0011719000;0,0011719000
26;3384,280;1,36561;1,08164;0,01574;0,83033;0,76960;0,84304;0,50937;1,39685;0,85016;0,02171;0,0011512700;0,0011512700;0,0011512700
27;3513,310;1,34607;1,05213;0,01525;0,83001;0,78442;0,85455;0,52018;1,38788;0,82211;0,02112;0,0011306400;0,0011306400;0,0011306400
28;3643,020;1,35525;1,05590;0,01537;0,83862;0,75738;0,84530;0,51573;1,39411;0,80990;0,02131;0,0011100100;0,0011100100;0,0011100100
29;3772,490;1,34908;1,05222;0,01517;0,84460;0,77177;0,84697;0,51693;1,38490;0,82976;0,02141;0,0010893800;0,0010893800;0,0010893800
30;3901,910;1,34162;1,04434;0,01509;0,82488;0,77090;0,84976;0,52233;1,36136;0,82833;0,02064;0,0010687600;0,0010687600;0,0010687600
31;4031,320;1,33473;1,00759;0,01493;0,86743;0,76477;0,85771;0,52225;1,37589;0,79171;0,02079;0,0010481300;0,0010481300;0,0010481300
32;4160,320;1,32504;0,99927;0,01498;0,84278;0,77736;0,85545;0,53577;1,34151;0,80213;0,02031;0,0010275000;0,0010275000;0,0010275000
33;4289,580;1,32603;1,00291;0,01469;0,84545;0,78181;0,86220;0,53791;1,34253;0,79092;0,02024;0,0010068700;0,0010068700;0,0010068700
34;4421,610;1,31013;0,98636;0,01472;0,84287;0,77915;0,85598;0,54151;1,33738;0,79406;0,02014;0,0009862390;0,0009862390;0,0009862390
35;4567,180;1,30698;0,96551;0,01448;0,85009;0,79602;0,86843;0,53982;1,35650;0,76180;0,02058;0,0009656100;0,0009656100;0,0009656100
36;4696,390;1,30158;0,95917;0,01456;0,84067;0,80536;0,86891;0,54686;1,33144;0,76780;0,01982;0,0009449810;0,0009449810;0,0009449810
37;4826,120;1,29326;0,93187;0,01432;0,83397;0,79933;0,86063;0,53990;1,34550;0,80148;0,02005;0,0009243520;0,0009243520;0,0009243520
38;4955,290;1,29099;0,95116;0,01437;0,84906;0,80274;0,87195;0,54485;1,35266;0,77177;0,02020;0,0009037220;0,0009037220;0,0009037220
39;5084,840;1,28622;0,95081;0,01413;0,84504;0,79615;0,86718;0,54535;1,33992;0,76871;0,01979;0,0008830930;0,0008830930;0,0008830930
40;5214,010;1,27546;0,93632;0,01413;0,85432;0,81006;0,87719;0,55576;1,32895;0,75476;0,01982;0,0008624640;0,0008624640;0,0008624640
41;5343,360;1,25852;0,90911;0,01374;0,85023;0,79106;0,86734;0,54895;1,32244;0,77874;0,01958;0,0008418350;0,0008418350;0,0008418350
42;5472,650;1,26500;0,90957;0,01413;0,86635;0,80093;0,87448;0,56057;1,33051;0,74631;0,01983;0,0008212060;0,0008212060;0,0008212060
43;5602,480;1,24659;0,89846;0,01376;0,85737;0,80602;0,87036;0,55459;1,32031;0,75940;0,01979;0,0008005770;0,0008005770;0,0008005770
44;5731,790;1,24678;0,89520;0,01381;0,85629;0,81278;0,88325;0,56053;1,31605;0,72628;0,01963;0,0007799480;0,0007799480;0,0007799480
45;5861,210;1,24693;0,88693;0,01359;0,87231;0,79937;0,87865;0,55657;1,31194;0,74876;0,01939;0,0007593180;0,0007593180;0,0007593180
46;5990,700;1,24668;0,87081;0,01352;0,88008;0,79094;0,87809;0,56081;1,32020;0,74078;0,01966;0,0007386890;0,0007386890;0,0007386890
47;6119,930;1,23164;0,86901;0,01370;0,86587;0,81827;0,88151;0,56492;1,32045;0,73011;0,01936;0,0007180600;0,0007180600;0,0007180600
48;6249,720;1,22896;0,86228;0,01360;0,87749;0,81531;0,88038;0,56636;1,31513;0,72257;0,01938;0,0006974310;0,0006974310;0,0006974310
49;6379,080;1,22866;0,84726;0,01326;0,87877;0,80678;0,88542;0,56757;1,32304;0,70529;0,01950;0,0006768020;0,0006768020;0,0006768020
50;6508,280;1,20917;0,82539;0,01320;0,87393;0,82030;0,88695;0,57392;1,30072;0,71888;0,01908;0,0006561730;0,0006561730;0,0006561730
51;6637,460;1,22392;0,84037;0,01329;0,86666;0,82063;0,88386;0,56889;1,30665;0,72691;0,01915;0,0006355440;0,0006355440;0,0006355440
52;6767,040;1,20934;0,81885;0,01300;0,86050;0,82910;0,88592;0,57362;1,29779;0,70312;0,01911;0,0006149150;0,0006149150;0,0006149150
53;6895,930;1,19166;0,82140;0,01293;0,88312;0,81222;0,88480;0,56959;1,31183;0,71644;0,01922;0,0005942860;0,0005942860;0,0005942860
54;7024,730;1,19333;0,80671;0,01289;0,87495;0,82429;0,88915;0,57530;1,30373;0,70133;0,01910;0,0005736560;0,0005736560;0,0005736560
55;7153,990;1,18049;0,80282;0,01286;0,88893;0,81184;0,89224;0,57896;1,28802;0,70092;0,01866;0,0005530270;0,0005530270;0,0005530270
56;7283,080;1,17306;0,79993;0,01262;0,86631;0,83272;0,88865;0,57786;1,28734;0,69885;0,01870;0,0005323980;0,0005323980;0,0005323980
57;7412,270;1,17426;0,78282;0,01273;0,88157;0,81828;0,89316;0,57852;1,28609;0,70491;0,01886;0,0005117690;0,0005117690;0,0005117690
58;7541,490;1,16738;0,78466;0,01277;0,87941;0,82154;0,88791;0,58032;1,28456;0,70088;0,01868;0,0004911400;0,0004911400;0,0004911400
59;7671,200;1,15684;0,77904;0,01237;0,86336;0,82615;0,89206;0,58104;1,29318;0,69542;0,01890;0,0004705110;0,0004705110;0,0004705110
60;7800,130;1,16040;0,78033;0,01255;0,87692;0,82636;0,89146;0,57923;1,29441;0,69572;0,01893;0,0004498820;0,0004498820;0,0004498820
61;7929,460;1,13894;0,76010;0,01219;0,87901;0,82737;0,89238;0,58112;1,29949;0,68383;0,01895;0,0004292530;0,0004292530;0,0004292530
62;8058,790;1,14157;0,75561;0,01230;0,88596;0,83019;0,89280;0,58347;1,28677;0,69011;0,01874;0,0004086230;0,0004086230;0,0004086230
63;8188,340;1,13696;0,75058;0,01216;0,86244;0,84102;0,89060;0,58223;1,28526;0,70411;0,01870;0,0003879940;0,0003879940;0,0003879940
64;8317,290;1,13538;0,73996;0,01218;0,88472;0,81945;0,89139;0,58332;1,29064;0,68949;0,01865;0,0003673650;0,0003673650;0,0003673650
65;8446,940;1,13223;0,74023;0,01193;0,87945;0,82892;0,89481;0,58367;1,29000;0,69217;0,01860;0,0003467360;0,0003467360;0,0003467360
66;8576,190;1,11714;0,72908;0,01201;0,87713;0,83217;0,89463;0,58711;1,28257;0,69475;0,01857;0,0003261070;0,0003261070;0,0003261070
67;8705,880;1,12179;0,72650;0,01194;0,89421;0,82365;0,89419;0,58383;1,29103;0,68180;0,01862;0,0003054780;0,0003054780;0,0003054780
68;8835,590;1,10648;0,72005;0,01167;0,89156;0,82588;0,89354;0,58559;1,29233;0,68837;0,01879;0,0002848490;0,0002848490;0,0002848490
69;8965,200;1,10780;0,70635;0,01176;0,90397;0,81954;0,89757;0,58504;1,28946;0,68854;0,01859;0,0002642200;0,0002642200;0,0002642200
70;9094,630;1,10480;0,71155;0,01169;0,88721;0,83721;0,89846;0,58840;1,28730;0,68506;0,01851;0,0002435900;0,0002435900;0,0002435900
71;9224,340;1,09238;0,70379;0,01152;0,87763;0,83452;0,89536;0,58813;1,28439;0,69138;0,01849;0,0002229610;0,0002229610;0,0002229610
72;9353,980;1,09682;0,70914;0,01157;0,87973;0,83435;0,89563;0,58913;1,28349;0,68876;0,01847;0,0002023320;0,0002023320;0,0002023320
73;9483,350;1,08590;0,68426;0,01146;0,89235;0,82934;0,89624;0,58940;1,28596;0,69592;0,01838;0,0001817030;0,0001817030;0,0001817030
74;9613,030;1,08069;0,69496;0,01159;0,89271;0,83001;0,89867;0,58998;1,28469;0,68224;0,01844;0,0001610740;0,0001610740;0,0001610740
75;9742,580;1,08078;0,67932;0,01131;0,90120;0,82081;0,89686;0,58969;1,28245;0,68316;0,01834;0,0001404450;0,0001404450;0,0001404450
76;9872,340;1,07671;0,68209;0,01128;0,88502;0,83623;0,89595;0,58882;1,27783;0,69242;0,01814;0,0001198160;0,0001198160;0,0001198160
77;10001,400;1,07064;0,66977;0,01130;0,88690;0,82947;0,89751;0,59030;1,28448;0,68641;0,01837;0,0000991865;0,0000991865;0,0000991865
78;10131,000;1,07039;0,67942;0,01127;0,90199;0,81824;0,89532;0,58942;1,28344;0,68632;0,01840;0,0000785574;0,0000785574;0,0000785574
79;10260,000;1,07012;0,67794;0,01136;0,89494;0,82714;0,89680;0,59128;1,28110;0,69414;0,01834;0,0000579283;0,0000579283;0,0000579283
80;10389,600;1,06320;0,67882;0,01124;0,88461;0,83228;0,89713;0,59202;1,28219;0,68500;0,01841;0,0000372991;0,0000372991;0,0000372991
