epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;40,1529;1,01217;6,09402;0,02218;0,37097;0,16667;0,20596;0,09178;0,98010;5,92597;0,02631;0,000060000;0,000060000;0,000060000
2;44,0658;1,05973;5,70845;0,02453;0,06080;0,33333;0,20866;0,13357;0,37038;4,95419;0,01062;0,000137228;0,000137228;0,000137228
3;47,1036;0,64837;3,73863;0,01327;0,72937;0,45874;0,54851;0,50684;0,43551;2,87250;0,01389;0,000211288;0,000211288;0,000211288
4;50,2010;0,59908;2,95925;0,01205;0,56251;0,22918;0,41977;0,33592;0,82095;2,78058;0,02698;0,000282180;0,000282180;0,000282180
5;53,4406;0,84011;2,14295;0,01955;0,94160;0,66667;0,80726;0,66844;0,68702;2,10346;0,02317;0,000349904;0,000349904;0,000349904
6;56,4926;0,65241;1,64243;0,01358;0,82641;0,79873;0,78855;0,65324;0,75747;2,03059;0,02664;0,000414460;0,000414460;0,000414460
7;59,9373;0,78368;1,59472;0,01585;0,83741;0,66667;0,85238;0,70372;0,72412;2,12691;0,02537;0,000475848;0,000475848;0,000475848
8;63,4086;0,64263;1,32194;0,01257;0,93276;0,66667;0,81627;0,64311;0,83002;1,97984;0,02893;0,000534068;0,000534068;0,000534068
9;66,8757;0,74717;1,27280;0,01720;1,00000;0,66172;0,85500;0,65035;0,87907;1,54190;0,02887;0,000589120;0,000589120;0,000589120
10;70,0007;0,67616;1,03578;0,01485;0,83000;0,81665;0,88500;0,61913;0,84471;1,05244;0,03176;0,000641004;0,000641004;0,000641004
11;73,8683;0,68947;1,00797;0,01395;0,97269;0,83333;0,95500;0,76023;0,74911;0,75206;0,02914;0,000689720;0,000689720;0,000689720
12;77,0804;0,69924;0,74855;0,01514;0,83505;1,00000;0,97214;0,78317;0,74272;0,54121;0,02299;0,000735268;0,000735268;0,000735268
13;80,5136;0,74068;0,84900;0,01667;0,82065;0,83333;0,91333;0,45151;1,27577;0,89674;0,05026;0,000777648;0,000777648;0,000777648
14;83,8701;0,71443;0,77512;0,01486;1,00000;0,77281;0,94167;0,76572;0,71862;0,72204;0,02400;0,000816860;0,000816860;0,000816860
15;86,7945;0,78708;0,73351;0,01662;0,99988;1,00000;0,99500;0,71486;1,05014;0,40203;0,03705;0,000852904;0,000852904;0,000852904
16;89,4848;0,71964;0,57649;0,01498;0,98371;1,00000;0,99500;0,75891;0,84553;0,43699;0,02989;0,000885780;0,000885780;0,000885780
17;92,5848;0,82015;0,62091;0,01823;0,99576;1,00000;0,99500;0,73659;1,04972;0,43396;0,03895;0,000915488;0,000915488;0,000915488
18;96,0281;0,97966;0,61564;0,02224;0,98346;0,83333;0,97214;0,73300;0,94103;0,52523;0,03289;0,000942028;0,000942028;0,000942028
19;99,2008;0,79460;0,65760;0,01832;0,98985;1,00000;0,99500;0,78953;0,78983;0,32300;0,02839;0,000965400;0,000965400;0,000965400
20;102,5620;0,73919;0,55522;0,01543;0,99109;1,00000;0,99500;0,79185;0,71901;0,25335;0,02755;0,000985604;0,000985604;0,000985604
21;105,6820;0,66574;0,55115;0,01494;0,98997;1,00000;0,99500;0,76462;0,83184;0,26035;0,03082;0,001002640;0,001002640;0,001002640
22;108,9740;0,80891;0,50700;0,01751;0,84103;1,00000;0,97214;0,71793;1,08791;0,41969;0,04043;0,001016510;0,001016510;0,001016510
23;111,9540;0,88246;0,61844;0,01875;0,74509;1,00000;0,94786;0,64765;1,16676;0,55859;0,04082;0,001027210;0,001027210;0,001027210
24;115,3580;0,95597;0,47685;0,02321;1,00000;0,81658;0,97214;0,71117;1,06449;0,59289;0,03866;0,001034740;0,001034740;0,001034740
25;118,5390;0,70926;0,41676;0,01532;1,00000;0,99816;0,99500;0,73327;1,08913;0,40818;0,03929;0,001039100;0,001039100;0,001039100
