epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2;lr/pg3;lr/pg4;lr/pg5;lr/pg6;lr/pg7
1;374,986;1,63531;2,61650;0,01118;0,70218;0,62721;0,67347;0,35654;1,56817;1,22121;0,01179;0,00998553;0,00332851;0,00998553;0,00332851;0,00998553;0,00332851;0,00998553;0,00332851
2;693,120;1,53510;1,58587;0,01036;0,70789;0,66316;0,71206;0,39838;1,54071;1,14302;0,01177;0,01991960;0,00663986;0,01991960;0,00663986;0,01991960;0,00663986;0,01991960;0,00663986
3;989,285;1,57196;1,59103;0,01075;0,67551;0,61783;0,65872;0,34039;1,65078;1,27790;0,01316;0,02978760;0,00992921;0,02978760;0,00992921;0,02978760;0,00992921;0,02978760;0,00992921
4;1278,340;1,59612;1,64243;0,01092;0,69253;0,66059;0,69807;0,37984;1,57385;1,14796;0,01221;0,02970300;0,00990100;0,02970300;0,00990100;0,02970300;0,00990100;0,02970300;0,00990100
5;1566,050;1,56654;1,56257;0,01073;0,71785;0,67352;0,71970;0,37250;1,66291;1,12220;0,01318;0,02960400;0,00986800;0,02960400;0,00986800;0,02960400;0,00986800;0,02960400;0,00986800
6;1857,520;1,54700;1,50234;0,01047;0,72786;0,69388;0,74796;0,42489;1,54460;1,04249;0,01176;0,02950500;0,00983500;0,02950500;0,00983500;0,02950500;0,00983500;0,02950500;0,00983500
7;2149,150;1,51451;1,42543;0,01030;0,74488;0,70645;0,76184;0,43826;1,50920;0,98267;0,01154;0,02940600;0,00980200;0,02940600;0,00980200;0,02940600;0,00980200;0,02940600;0,00980200
8;2438,930;1,49975;1,37007;0,00999;0,75710;0,71632;0,77645;0,44142;1,51651;0,94454;0,01137;0,02930700;0,00976900;0,02930700;0,00976900;0,02930700;0,00976900;0,02930700;0,00976900
9;2729,580;1,48592;1,32117;0,00988;0,75750;0,72641;0,78487;0,45104;1,50431;0,91434;0,01137;0,02920800;0,00973600;0,02920800;0,00973600;0,02920800;0,00973600;0,02920800;0,00973600
10;3019,060;1,46749;1,28953;0,00970;0,77474;0,73772;0,80647;0,46424;1,50169;0,88914;0,01139;0,02910900;0,00970300;0,02910900;0,00970300;0,02910900;0,00970300;0,02910900;0,00970300
11;3309,760;1,45442;1,25939;0,00963;0,76804;0,75531;0,81420;0,47163;1,49333;0,88764;0,01130;0,02901000;0,00967000;0,02901000;0,00967000;0,02901000;0,00967000;0,02901000;0,00967000
